# Contour Level: 0
# Part: 1
# Number of vertices: 4
# X, Y coordinates

1.671003, 0.500000
2.500000, 0.715961
3.500000, 0.824074
3.663761, 0.500000

# Contour Level: 0
# Part: 2
# Number of vertices: 30
# X, Y coordinates

5.097003, 0.500000
5.500000, 0.830567
6.500000, 1.205529
7.500000, 1.249640
8.500000, 1.500000
8.500000, 2.500000
8.500000, 3.500000
7.500000, 3.562020
6.500000, 3.809600
5.677163, 4.500000
5.500000, 4.942740
5.265295, 5.500000
5.500000, 6.104445
5.640372, 6.500000
6.500000, 7.205333
6.914341, 7.500000
6.500000, 8.500000
5.500000, 8.500000
5.079807, 7.500000
5.059908, 6.500000
4.500000, 6.296597
4.101191, 6.500000
3.753249, 7.500000
3.500000, 8.500000
3.119015, 7.500000
3.278144, 6.500000
2.500000, 5.502554
1.902109, 6.500000
1.500000, 7.131135
0.500000, 7.393485

# Contour Level: 0
# Part: 3
# Number of vertices: 2
# X, Y coordinates

9.500000, 1.048292
8.500000, 0.500000

# Contour Level: 0
# Part: 4
# Number of vertices: 4
# X, Y coordinates

9.500000, 7.023909
8.500000, 6.500000
8.500000, 5.500000
9.500000, 5.165267

# Contour Level: 0
# Part: 5
# Number of vertices: 2
# X, Y coordinates

9.500000, 9.500000
9.500000, 8.500000

# Contour Level: 0
# Part: 6
# Number of vertices: 3
# X, Y coordinates

7.284325, 9.500000
7.500000, 8.500000
8.500000, 9.500000

# Contour Level: 0
# Part: 7
# Number of vertices: 4
# X, Y coordinates

1.715617, 9.500000
2.500000, 8.500000
3.500000, 8.500000
4.246480, 9.500000

# Contour Level: 0
# Part: 8
# Number of vertices: 2
# X, Y coordinates

0.500000, 8.500000
0.654360, 9.500000

# Contour Level: 0
# Part: 9
# Number of vertices: 3
# X, Y coordinates

0.500000, 5.950206
0.728256, 5.500000
0.500000, 5.278910

# Contour Level: 0
# Part: 10
# Number of vertices: 2
# X, Y coordinates

0.500000, 0.667863
0.987638, 0.500000

# Contour Level: 0
# Part: 11
# Number of vertices: 7
# X, Y coordinates

1.437818, 1.500000
0.585976, 2.500000
1.500000, 3.367244
2.172585, 2.500000
1.517464, 1.500000
1.500000, 1.261715
1.437818, 1.500000

# Contour Level: 0
# Part: 12
# Number of vertices: 19
# X, Y coordinates

3.154265, 2.500000
2.727441, 3.500000
2.500000, 3.605790
1.500000, 3.621395
0.954046, 4.500000
1.500000, 5.056131
2.500000, 5.496701
2.506739, 5.500000
3.500000, 6.069666
3.837548, 5.500000
4.500000, 4.670307
4.957236, 4.500000
5.500000, 4.030965
5.852133, 3.500000
5.612252, 2.500000
5.500000, 2.386222
4.500000, 2.079660
3.500000, 1.883642
3.154265, 2.500000

# Contour Level: 0
# Part: 1
# Number of vertices: 4
# X, Y coordinates

1.671003, 0.500000
2.500000, 0.715961
3.500000, 0.824074
3.663761, 0.500000

# Contour Level: 0
# Part: 2
# Number of vertices: 30
# X, Y coordinates

5.097003, 0.500000
5.500000, 0.830567
6.500000, 1.205529
7.500000, 1.249640
8.500000, 1.500000
8.500000, 2.500000
8.500000, 3.500000
7.500000, 3.562020
6.500000, 3.809600
5.677163, 4.500000
5.500000, 4.942740
5.265295, 5.500000
5.500000, 6.104445
5.640372, 6.500000
6.500000, 7.205333
6.914341, 7.500000
6.500000, 8.500000
5.500000, 8.500000
5.079807, 7.500000
5.059908, 6.500000
4.500000, 6.296597
4.101191, 6.500000
3.753249, 7.500000
3.500000, 8.500000
3.119015, 7.500000
3.278144, 6.500000
2.500000, 5.502554
1.902109, 6.500000
1.500000, 7.131135
0.500000, 7.393485

# Contour Level: 0
# Part: 3
# Number of vertices: 2
# X, Y coordinates

9.500000, 1.048292
8.500000, 0.500000

# Contour Level: 0
# Part: 4
# Number of vertices: 4
# X, Y coordinates

9.500000, 7.023909
8.500000, 6.500000
8.500000, 5.500000
9.500000, 5.165267

# Contour Level: 0
# Part: 5
# Number of vertices: 2
# X, Y coordinates

9.500000, 9.500000
9.500000, 8.500000

# Contour Level: 0
# Part: 6
# Number of vertices: 3
# X, Y coordinates

7.284325, 9.500000
7.500000, 8.500000
8.500000, 9.500000

# Contour Level: 0
# Part: 7
# Number of vertices: 4
# X, Y coordinates

1.715617, 9.500000
2.500000, 8.500000
3.500000, 8.500000
4.246480, 9.500000

# Contour Level: 0
# Part: 8
# Number of vertices: 2
# X, Y coordinates

0.500000, 8.500000
0.654360, 9.500000

# Contour Level: 0
# Part: 9
# Number of vertices: 3
# X, Y coordinates

0.500000, 5.950206
0.728256, 5.500000
0.500000, 5.278910

# Contour Level: 0
# Part: 10
# Number of vertices: 2
# X, Y coordinates

0.500000, 0.667863
0.987638, 0.500000

# Contour Level: 0
# Part: 11
# Number of vertices: 7
# X, Y coordinates

1.437818, 1.500000
0.585976, 2.500000
1.500000, 3.367244
2.172585, 2.500000
1.517464, 1.500000
1.500000, 1.261715
1.437818, 1.500000

# Contour Level: 0
# Part: 12
# Number of vertices: 19
# X, Y coordinates

3.154265, 2.500000
2.727441, 3.500000
2.500000, 3.605790
1.500000, 3.621395
0.954046, 4.500000
1.500000, 5.056131
2.500000, 5.496701
2.506739, 5.500000
3.500000, 6.069666
3.837548, 5.500000
4.500000, 4.670307
4.957236, 4.500000
5.500000, 4.030965
5.852133, 3.500000
5.612252, 2.500000
5.500000, 2.386222
4.500000, 2.079660
3.500000, 1.883642
3.154265, 2.500000

